name,website,description,country,healthcare_type,status,status_code,source,validated_date
Unknown Company,http://dopavision.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:09:40
Unknown Company,http://www.ecovery.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:09:42
Error - Could not access,https://abingdonhealth.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:09:43
Unknown Company,https://abingdonhealth.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:09:49
Error - Could not access,https://abingdonhealth.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:09:50
Unknown Company,https://adahealth.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:09:54
Unknown Company,https://adahealth.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:09:56
Error - Could not access,https://alliedhealthcare.co.uk,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:09:57
Error - Could not access,https://alliedhealthcare.com,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:09:58
Error - Could not access,https://alliedhealthcare.uk,Error: HTTP <urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1029)>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1029)>,Discovered,2025-07-21 11:09:59
Error - Could not access,https://annexinpharmaceuticals.com,Error: HTTP <urlopen error [SSL: RECORD_LAYER_FAILURE] record layer failure (_ssl.c:1029)>,Europe,Biotechnology,Error,HTTP <urlopen error [SSL: RECORD_LAYER_FAILURE] record layer failure (_ssl.c:1029)>,Discovered,2025-07-21 11:10:01
Error - Could not access,https://annexinpharmaceuticals.se,Error: HTTP <urlopen error [SSL: RECORD_LAYER_FAILURE] record layer failure (_ssl.c:1029)>,Sweden,Biotechnology,Error,HTTP <urlopen error [SSL: RECORD_LAYER_FAILURE] record layer failure (_ssl.c:1029)>,Discovered,2025-07-21 11:10:02
Error - Could not access,https://babylonhealth.co.uk,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:10:03
Error - Could not access,https://babylonhealth.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:10:04
Error - Could not access,https://babylonhealth.uk,Error: HTTP <urlopen error timed out>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error timed out>,Discovered,2025-07-21 11:10:35
Unknown Company,https://bellehealth.co/de,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:10:37
Error - Could not access,https://besinshealthcare.com,Error: HTTP <urlopen error [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1029)>,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1029)>,Discovered,2025-07-21 11:10:38
Unknown Company,https://besinshealthcare.fr,No description available,France,Healthcare Services,Active,200,Discovered,2025-07-21 11:10:40
Error - Could not access,https://biotechnology.com,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:10:41
Error - Could not access,https://biotechnology.fr,Error: HTTP <urlopen error [Errno 101] Network is unreachable>,France,Biotechnology,Error,HTTP <urlopen error [Errno 101] Network is unreachable>,Discovered,2025-07-21 11:10:57
Error - Could not access,https://biotechnologycompaniesbycountry.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:10:58
Error - Could not access,https://biotechnologycompaniesbycountry.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:10:59
Error - Could not access,https://biotechnologyinfrance.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:00
Error - Could not access,https://biotechnologyinfrance.fr,Error: HTTP <urlopen error [Errno -2] Name or service not known>,France,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:01
Error - Could not access,https://biotechnologyinswitzerland.ch,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Switzerland,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:02
Error - Could not access,https://biotechnologyinswitzerland.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:03
Error - Could not access,https://biotechnologyintheunitedkingdom.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:04
Error - Could not access,https://biotechnologyintheunitedkingdom.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:05
Error - Could not access,https://biotechnologyintheunitedkingdom.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:06
Unknown Company,https://brea.app,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:08
Unknown Company,https://breathment.com,No description available,Europe,Healthcare Services,Active,200,Discovered,2025-07-21 11:11:09
Error - Could not access,https://britishbiotech.co.uk,Error: HTTP <urlopen error [Errno 111] Connection refused>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno 111] Connection refused>,Discovered,2025-07-21 11:11:10
Unknown Company,https://britishbiotech.com,No description available,Europe,Biotechnology,Active,200,Discovered,2025-07-21 11:11:11
Error - Could not access,https://britishbiotech.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:12
Error - Could not access,https://cigahealthcare.co.uk,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:11:14
Unknown Company,https://cigahealthcare.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:16
