name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date
Dopavision,http://dopavision.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:56
Ecovery,http://www.ecovery.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:58
Belle,https://bellehealth.co/de,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:00
Brea,https://brea.app,No description available,Digital health platform,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:01
Breathment,https://breathment.com,No description available,Healthcare products and services,Europe,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:02
Cogthera,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung","Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://cogthera.de/#pr",Germany,AI/ML Healthcare,Active,200,Manual,Meta tags,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 12:55:05
Curecurve,https://curecurve.de/elina-app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:07
Unknown Company,https://de.becureglobal.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:10
De,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,URL domain (error),,2025-07-21 12:55:12
Deepeye,https://deepeye.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:14
Denton-systems,https://denton-systems.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:15
Elixion,https://elixionmedical.com,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:17
Eye2you,https://eye2you.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:18
Fyzo,https://fyzo.de/assistant,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:20
Gleea,https://gleea.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:21
Unknown Company,https://home.informme.info,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:22
Incontalert,https://incontalert.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:24
Sfs-health,https://sfs-healthcare.com,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:27
Getnutrio,https://shop.getnutrio.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:28
Visioncheckout,https://visioncheckout.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:30
Acalta,https://www.acalta.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:31
Actimi,https://www.actimi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:32
Alfa-ai,https://www.alfa-ai.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:34
Apheris,https://www.apheris.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:35
Apodienste,https://www.apodienste.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:36
Aporize,https://www.aporize.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Page title,Aporize,2025-07-21 12:55:38
Arztlena,https://www.arztlena.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,URL domain (error),,2025-07-21 12:55:39
Auta,https://www.auta.health,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:40
Avayl,https://www.avayl.tech,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:41
Avi,https://www.avimedical.com/avi-impact,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:42
Biotx,https://www.biotx.ai,No description available,Biotechnology solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:44
Brainjo,https://www.brainjo.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:45
Careanimations,https://www.careanimations.de,"Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel.","Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel. | Careanimations | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://car | our products and we strive to reach them all.",Germany,AI/ML Healthcare,Active,200,Discovered,Meta tags,Animierte Informationsvideos | Careanimations,2025-07-21 12:55:48
Climedo,https://www.climedo.de,No description available,Medical services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:50
Cliniserve,https://www.cliniserve.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:52
Comuny,https://www.comuny.de,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:53
Cynteract,https://www.cynteract.com/de/rehabilitation,Error: HTTP HTTP Error 404: Not Found,Healthcare products and services,Europe,Healthcare Services,Error,HTTP HTTP Error 404: Not Found,Manual,URL domain (error),,2025-07-21 12:55:55
Deepmentation,https://www.deepmentation.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:57
Derma2go,https://www.derma2go.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:59
Dianovi,https://www.dianovi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:01
Dpv-analytics,https://www.dpv-analytics.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:02
Emmora,https://www.emmora.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:05
Empident,https://www.empident.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:07
Fitwhit,https://www.fitwhit.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:09
Floy,https://www.floy.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:10
Gesund,https://www.gesund.de/app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:12
Glaice,https://www.glaice.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:14
Guide,https://www.guidecare.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:15
