name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date,state,city,location_summary,location_method,exact_products,precise_city,precise_state,precise_country,location_extraction_method
Dopavision,http://dopavision.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:56,,,Location not determined,combined_analysis,Dopavision (Product details not available),,,Europe,url_analysis
Ecovery,http://www.ecovery.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:58,,,Germany,url_analysis,JH0 aI,Leipzig,Saxony,Germany,content_analysis
Brea,https://brea.app,No description available,Digital health platform,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,Brea (Product details not available),,,Europe,url_analysis
Breathment,https://breathment.com,No description available,Healthcare products and services,Europe,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:02,,,Location not determined,combined_analysis,Breathment (Product details not available),,,Europe,url_analysis
Cogthera,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung","Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://cogthera.de/#pr",Germany,AI/ML Healthcare,Active,200,Manual,Meta tags,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 12:55:05,,,Germany,url_analysis,"Kognitives Training für Menschen mit MCI und leichter Demenz, Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung, der Klasse 1 nach MDR.",,,Germany,url_analysis
Curecurve,https://curecurve.de/elina-app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:07,,,Germany,url_analysis,LupaI,,,Germany,url_analysis
De,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,URL domain (error),,2025-07-21 12:55:12,,,Location not determined,combined_analysis,De (Product details not available),,,Europe,url_analysis
Deepeye,https://deepeye.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:14,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,Deepeye (Product details not available),,,Europe,url_analysis
Denton-systems,https://denton-systems.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:15,,,Germany,url_analysis,Denton-systems (Product details not available),,,Germany,url_analysis
Elixion,https://elixionmedical.com,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:17,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,Elixion (Product details not available),,,Europe,url_analysis
