name,website,description,country,healthcare_type,status,status_code,source,validated_date
Unknown Company,http://dopavision.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:23
Unknown Company,http://www.ecovery.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:26
Unknown Company,https://bellehealth.co/de,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:28
Unknown Company,https://brea.app,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:30
Unknown Company,https://breathment.com,No description available,Europe,Healthcare Services,Active,200,Discovered,2025-07-21 10:24:31
Kognitives Training für Menschen mit MCI und leichter Demenz,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung",Germany,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:24:34
Unknown Company,https://curecurve.de/elina-app,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:36
Unknown Company,https://de.becureglobal.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:39
Error - Could not access,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,2025-07-21 10:24:40
Unknown Company,https://deepeye.ai,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:42
Unknown Company,https://denton-systems.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:44
Unknown Company,https://elixionmedical.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:45
Unknown Company,https://eye2you.ai,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:48
Unknown Company,https://fyzo.de/assistant,No description available,Germany,Healthcare Services,Active,200,Discovered,2025-07-21 10:24:49
Unknown Company,https://gleea.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:50
Unknown Company,https://home.informme.info,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:52
Unknown Company,https://incontalert.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:53
Unknown Company,https://sfs-healthcare.com,No description available,Europe,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:24:56
Unknown Company,https://shop.getnutrio.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:58
Unknown Company,https://visioncheckout.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:24:59
Unknown Company,https://www.aalto.fi,No description available,Finland,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:01
Error - Could not access,https://www.abbvie.at,Error: HTTP HTTP Error 403: Forbidden,Austria,Healthcare Services,Error,HTTP HTTP Error 403: Forbidden,Discovered,2025-07-21 10:25:02
Error - Could not access,https://www.abbvie.es,Error: HTTP HTTP Error 403: Forbidden,Spain,Healthcare Services,Error,HTTP HTTP Error 403: Forbidden,Discovered,2025-07-21 10:25:03
Unknown Company,https://www.abiogen.it,No description available,Italy,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:05
Unknown Company,https://www.abivax.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:06
Unknown Company,https://www.ablynx.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:08
Unknown Company,https://www.abo.fi,No description available,Finland,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:10
Unknown Company,https://www.acalta.de,No description available,Germany,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:25:11
Error - Could not access,https://www.accelerateddigitalventures.com,Error: HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Europe,Digital Health,Error,HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Discovered,2025-07-21 10:25:12
Unknown Company,https://www.actelion.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:15
Unknown Company,https://www.actimi.com,No description available,Europe,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:25:16
Unknown Company,https://www.ada-health.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:17
Error - Could not access,https://www.agilent.com,Error: HTTP HTTP Error 403: Forbidden,Europe,Healthcare Services,Error,HTTP HTTP Error 403: Forbidden,Discovered,2025-07-21 10:25:18
Error - Could not access,https://www.ahold-delhaize.com,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Europe,AI/ML Healthcare,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,2025-07-21 10:25:19
Suomen Akatemia - Suomen Akatemia,https://www.aka.fi,No information available,Finland,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:21
Unknown Company,https://www.alan.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:23
Unknown Company,https://www.alexion.at,No description available,Austria,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:24
Unknown Company,https://www.alfa-ai.com,No description available,Europe,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:25:26
Error - Could not access,https://www.alfasigma.com,Error: HTTP HTTP Error 403: Forbidden,Europe,Healthcare Services,Error,HTTP HTTP Error 403: Forbidden,Discovered,2025-07-21 10:25:27
Unknown Company,https://www.almirall.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:28
redirect,https://www.amc.nl,No description available,Netherlands,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:39
Unknown Company,https://www.amgen.at,No description available,Austria,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:40
Unknown Company,https://www.angelini.it,No description available,Italy,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:43
Unknown Company,https://www.apheris.com,No description available,Europe,AI/ML Healthcare,Active,200,Manual,2025-07-21 10:25:44
Unknown Company,https://www.apodienste.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:45
Aporize,https://www.aporize.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 10:25:50
