url,company_name,extraction_method,status,raw_title,extracted_date
https://elixionmedical.com,Elixion,URL domain,Success,home,2025-07-21 14:31:20
https://www.brainjo.de,Brainjo,URL domain,Success,,2025-07-21 14:31:21
https://www.apodienste.com,Apodienste,URL domain,Success,,2025-07-21 14:31:21
https://www.guidecare.de,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe,Page title,Success,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe,2025-07-21 14:31:22
https://eye2you.ai,Eye2you,Meta tags,Success,Health AI - Eye2you,2025-07-21 14:31:23
https://sfs-healthcare.com,sfs healthcare,Meta tags,Success,Startseite - sfs healthcare,2025-07-21 14:31:25
https://www.gesund.de/app,Die gesund.de App,Page title,Success,Die gesund.de App - Deine smarte Gesundheitsapp,2025-07-21 14:31:26
https://www.healthmeapp.de/de,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen,Page title,Success,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen,2025-07-21 14:31:29
https://www.arztlena.com,Arztlena,URL domain (fallback),Partial,,2025-07-21 14:31:30
https://www.biotx.ai,Biotx,URL domain,Success,,2025-07-21 14:31:30
https://www.apheris.com,Apheris,Meta tags,Success,Improve AI model performance with life sciences data networks - www.apheris.com,2025-07-21 14:31:31
https://de.caona.eu,Unknown,Failed,Error,,2025-07-21 14:31:31
https://deepeye.ai,AI Therapy Assistant for Retinal Diseases,Page title,Success,AI Therapy Assistant for Retinal Diseases | deepeye Medical,2025-07-21 14:31:33
https://www.empident.de,EMPIDENT,Meta tags,Success,Digitale Zahnarztpraxis - ENG - EMPIDENT,2025-07-21 14:31:35
https://home.informme.info,InformMe,Page title,Success,InformMe - Digitale Aufklärung am eigenen Smartphone,2025-07-21 14:31:36
https://www.kranushealth.com/de/therapien/haeufiger-harndrang,Kranus Health,Meta tags,Success,Die Therapie bei häufigem Harndrang &mdash; Kranus Health,2025-07-21 14:31:36
https://cogthera.de/#erfahren,Cogthera,Meta tags,Success,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 14:31:38
https://www.actimi.com,ACTIMI Digitaler Datenaustausch nach MDR,Page title,Success,ACTIMI Digitaler Datenaustausch nach MDR,2025-07-21 14:31:39
https://www.emmora.de,Ahorn Gruppe,Meta tags,Success,Die Ahorn Gruppe führt Emmora fort und erweitert ihr digitales Angebot im Bereich Bestattungsvorsorg,2025-07-21 14:31:41
https://incontalert.de,inContAlert &#8211; Regain Control Again.,Page title,Success,inContAlert &#8211; Regain Control Again.,2025-07-21 14:31:42
https://www.acalta.de,Acalta,Page title,Success,Acalta – Rethink Digital Healthcare,2025-07-21 14:31:43
https://www.climedo.de,Climedo,URL domain,Success,,2025-07-21 14:31:45
