name,website,description,location,source_url,discovery_method,domain
Disfoldhttps://disfold.com › germany › sector › healthcare › companies,https://disfold.com/germany/sector/healthcare/companies/,Disfoldhttps://disfold.com › germany › sector › healthcare › companies,Germany,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,disfold.com
Invenhttps://www.inven.ai › company-lists,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,Invenhttps://www.inven.ai › company-lists,Top 22 Noteworthy Healthcare Companies in Germany,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.inven.ai
CrunchBasehttps://www.crunchbase.com › hub › germany-health-care-companies,https://www.crunchbase.com/hub/germany-health-care-companies,CrunchBasehttps://www.crunchbase.com › hub › germany-health-care-companies,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.crunchbase.com
ZoomInfohttps://www.zoominfo.com › top-lists › top-healthcare-companies-in-DE,https://www.zoominfo.com/top-lists/top-healthcare-companies-in-DE,ZoomInfohttps://www.zoominfo.com › top-lists › top-healthcare-companies-in-DE,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.zoominfo.com
F6Shttps://www.f6s.com › companies › health-medical › germany › co,https://www.f6s.com/companies/health-medical/germany/co,F6Shttps://www.f6s.com › companies › health-medical › germany › co,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.f6s.com
F6Shttps://www.f6s.com › companies › health › germany › co,https://www.f6s.com/companies/health/germany/co,F6Shttps://www.f6s.com › companies › health › germany › co,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.f6s.com
SURFEhttps://www.surfe.com › industries › healthcare › germany,https://www.surfe.com/industries/healthcare/germany/,SURFEhttps://www.surfe.com › industries › healthcare › germany,Top 10 Health Care Companies in Germany 2025 – Lea,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.surfe.com
Germany Visahttps://www.germany-visa.org › ... › companies,https://www.germany-visa.org/insurances-germany/health-insurance/companies/,Germany Visahttps://www.germany-visa.org › ... › companies,Best Health Insurance Companies in Germany - Germa,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,www.germany-visa.org
Wellfoundhttps://wellfound.com › startups › germany › health-care,https://wellfound.com/startups/l/germany/health-care,Wellfoundhttps://wellfound.com › startups › germany › health-care,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,wellfound.com
Privacy and Cookies,http://go.microsoft.com/fwlink/?LinkId=521839,Privacy and Cookies,Personal data collected by Microsoft may be stored,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
Legal,http://go.microsoft.com/fwlink/?LinkID=246338,Legal,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
