name,website,description,location,category,subcategory,founded_year,employees,funding,products,email,phone,linkedin,twitter,address,ceo,revenue,technologies,target_market,certifications,partners,awards,data_quality_score,extraction_date,source
OptiMedis,https://www.optimedis.de,"Gesundheitsversorgung muss nachhaltig, fair und patientenorientiert sein. Deshalb forschen wir, entwickeln zukunftsweisende Lösungen und setzen sie regional um.",Hamburg,Electronic Health Records,Software Solutions,2022,,,products{padding:0!important;line-height:1.,office@optimedis.de,+49 40 22621149-0,https://www.linkedin.com/company/3493599,https://twitter.com/share?url=https%3A%2F%2Foptimedis.de%2F&text=Startseite,,,,"AI, ML, Java",B2C,"GDPR, CE",is,,8.0,2025-07-13,Direct URL
Caspar Health,https://www.caspar-health.com,Effizienz und Qualität durch digitalisierte Prozesse und optimierte Ressourcennutzung steigern.,Berlin,Electronic Health Records,Software Solutions,,,,"apple-touch-icon""/><!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].",patientenbetreuung@caspar-clinic.de,+49 (30) 12 08 2976,https://www.linkedin.com/company/caspar-health/,,,,,"AI, ML, Java",B2B,"CE, certification",,,7.5,2025-07-13,Direct URL
contextflow &#8211; See beyond a single case,https://www.contextflow.com,"Quantitative and qualitative information for lung cancer, ILD and COPD directly in your viewer",Vienna,Electronic Health Records,Software Solutions,,,,"Products</p>

                                                    <ul>
                             ",office@contextflow.com,+604800,https://www.linkedin.com/company/contextflow,https://twitter.com/contextflow_rad,,,,"AI, ML, Java",patients,"CE, certified",ow,,7.5,2025-07-13,Direct URL
Medication dispensing service,https://www.evondos.com,"Welcome to Evondos, leading in the market when it comes to automated medicine dispensing service and robots. This is the start page.",Helsinki,Pharmaceuticals,Software Solutions,,,,"service | Evondos</title>
            <link rel=""shortcut icon"" href=""https://www.",info@evondos.com,+358 2 777 760,https://www.linkedin.com/company/evondos-oy/,,,,,"AI, ML, Java",patients,CE,,,7.5,2025-07-13,Direct URL
Medikamenten,https://www.mediteo.com,mediteo ist Ihre Medikamenten-Erinnerung! Mit der kostenlosen Tabletten-App können Sie den Überblick über Ihren Medikamentenplan behalten.,UK,Electronic Health Records,Software Solutions,,,,"Service-Qualität (DISQ) zeichnet mediteo mit ""sehr gut"" aus.",icon32OtherLocation@3x.png,+604800,https://www.linkedin.com/company/mediteo-gmb,,,,,"AI, ML, Java",,"ISO, GDPR, CE",ww,,7.5,2025-07-13,Direct URL
Doctolib : Prenez rendez,https://www.doctolib.com,Trouvez rapidement un spécialiste près de chez vous et prenez rendez-vous gratuitement en ligne en quelques clics,Berlin,Telemedicine,Software Solutions,,,,"production""><meta charset=""utf-8"" /><meta name=""csrf-param"" content=""authenticity_token"" />
<meta na",ab4f5343d97c4399bb5352f61065a64d@o38419.ingest.sentry.io,+00 0 00,https://www.linkedin.com/company/doctolib,,"54 quai Charles Pasqua, 92300 Levallois",,,"AI, ML, React, Java, AWS",B2B,"ISO, GDPR, CE",ro,"Versorgung\"",\""persecuted_person\"":\""Verfolgte\"",\""severely_handicapped_person\"":\""Schwerbeschädigte",7.5,2025-07-13,Auto-discovered
Diagnosia,https://www.diagnosia.com,"Diagnosia liefert dir alles, was du über Medikamente wissen musst, da wo du es brauchst: in deiner Kitteltasche!",Europe,Pharmaceuticals,Software Solutions,2024,,,"Appstore</a></li>
                    <li class=""nav-item""><a class=""nav-link"" href=""#section2"">Übe",support@apoverlag.at,+4314023588912,,,,,,"AI, ML",,CE,,,7.0,2025-07-13,Direct URL
Die Plattform für Top-Jobs in Pflege &amp; Medizin,https://www.medwing.com,Top-Jobs in Pflege &amp; Medizin finden. Beste Fachkräfte &amp; renommierte Arbeitgeber auf MEDWING.,Berlin,Electronic Health Records,Software Solutions,2024,,,"service""><img alt=""caretaking_service"" width=""64"" height=""64"" decoding=""async"" data-nimg=""1"" style=""",,202 380 920,https://www.linkedin.com/company/medwing/,,,,,"AI, ML, Java",B2B,"CE, certified",tt,"Krankenpflegehelfer/in\"",\""medical_medical_specialist\"":\""Facharzt/ Fachärztin\"",\""medical_medical_s",7.0,2025-07-13,Direct URL
Homepage,https://www.aidhere.com,Sidekick Health Germany develops digital health applications for the holistic treatment of diseases.,Hamburg,Medical Devices,Hardware/Devices,,,,"products/"" class=""elementor-item"">Products</a></li>
<li class=""menu-item menu-item-type-post_type me",,929 333 958,https://www.linkedin.com/company/aidhere/mycompany/,https://twitter.com/aidhere_DE,,,,"AI, ML, Java",patients,"ISO, CE, certification",el,,6.5,2025-07-13,Direct URL
Photo Editor,https://www.befunky.com,Combine multiple photos into one with a grid layout,Europe,AI/ML Healthcare,AI/ML Solutions,,,,"product"":""prod_E6dK673YmWmDQG"",""unit_amount"":8388,""type"":""recurring"",""recurring"":""year"",""active"":tru",b2869f1592ed45e586418602b8f9fd0a@sentry.io,262 506 198,https://www.linkedin.com/company/befunky,https://twitter.com/befunky,,,,"AI, ML, Java",,CE,pp,,6.5,2025-07-13,Direct URL
