name,website,description,location,category,email,phone,extraction_date
Acalta – Rethink Digital Healthcare,https://www.acalta.de,European healthcare technology company,Germany,Health Apps,,+0000,2025-07-12
ACTIMI Digitaler Datenaustausch nach MDR,https://www.actimi.com,"ACTIMI bietet MDR IIa zertifizierte Telemedizinlösungen für Ärzte und Kliniken für das Management chronischer Erkrankungen. Skalierbare, sichere und zertifizierte Telemedizin-Plattform.",Europe,Health Apps,,+0460-052,2025-07-12
Die Ahorn Gruppe führt Emmora fort und erweitert ihr digitales Angebot im Bereich Bestattungsvorsorg...,https://www.emmora.de,European healthcare technology company,"Berlin, Europe",Health Apps,presse@ahorn-gruppe.de,+4930787820,2025-07-12
Artificial Intelligence Fitness Coach,https://www.alfa-ai.com,European healthcare technology company,Europe,Health Apps,,+0000,2025-07-12
Improve AI model performance with life sciences data networks,https://www.apheris.com,"Build and evolve globally impactful data ecosystems across organizations, industries, and boundaries — all while protecting privacy and IP.",Europe,Health Apps,,,2025-07-12
Aporize,https://www.aporize.com/,European healthcare technology company,Europe,Health Apps,info@aporize.com,+604800,2025-07-12
Aurora Nutrio,https://shop.getnutrio.com/,Erreiche deine Ernährungsziele so einfach wie nie zu vor! Mit Nutrio trackst du deine Ernährung schnell und bequem.,"Hamburg, Europe",Health Apps,contact@aurora-nutrio.com,+323,2025-07-12
Auta Health,https://www.auta.health/,European healthcare technology company,"Munich, Europe",Health Apps,AutaHealthDemo@medigital.io,+0000,2025-07-12
Wir bringen Kassen das Sehen bei,https://visioncheckout.com/,Entdecke den visioncheckout: den Self-Checkout der Zukunft. Per Kamera erkennt der visioncheckout alle Speisen und bucht sie automatisiert ins Kassensystem.,"Berlin, Europe",Health Apps,,,2025-07-12
AVAYL,https://www.avayl.tech/,Experience the Future of Medical Information with AI from AVAYL,"Berlin, Europe",Health Apps,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+379,2025-07-12
avi Impact,https://www.avimedical.com/avi-impact,European healthcare technology company,"Berlin, Europe",Health Apps,contact@avimedical.com,+0000,2025-07-12
Becure,https://de.becureglobal.com/,"Über UnsBecure bietet Rehabilitationslösungen der nächsten Generation mit einer Reihe aktiver Videospiele auf der Grundlage der virtuellen Realität für das Wohlbefinden der Bevölkerung. Es bietet ein sorgfältig geführtes, KI-basiertes und zielgerichtetes Rehabilitationsprogramm, das überall physisch",Europe,Health Apps,,,2025-07-12
Belle – Dein PMDS,https://bellehealth.co/de/,"Belles App ist dein Gesundheitsverbündeter im Umgang mit PMDS. Verstehe PMDS, überwache deine Symptome und erhalte maßgeschneiderte Empfehlungen.","London, Europe",Health Apps,victoria@bellehealth.co,,2025-07-12
Biotx,https://www.biotx.ai/,,Europe,Health Apps,info@biotx.ai,+1-512-919,2025-07-12
brainjo,https://www.brainjo.de/,"brainjo combines virtual reality (VR) with brain-computer interfaces for the treatment (DiGA/DTx) of ADHD. With strong supporters like Meta and the German Federal Ministry, we are on the edge of expanding our portfolio to include ADHD therapy. ?","Berlin, Europe",Health Apps,info@brainjo.de,+49 941 462,2025-07-12
Brea,https://brea.app/,European healthcare technology company,"Berlin, Europe",Health Apps,,,2025-07-12
Redirecting...,https://breathment.com/,European healthcare technology company,Europe,Digital Health,,,2025-07-12
Animierte Informationsvideos,https://www.careanimations.de/,"Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel.","Berlin, Europe",Health Apps,,,2025-07-12
Sfs Healthcare,https://sfs-healthcare.com,Unsere Software sfs healthcare bietet als einzige Kollaborationsplatform die Basis für eine moderne digitale Medizin,"Rome, Europe",Health Apps,bvitg_Wortbildmarke_farbig_RGB@0.5x-100.jpg,+604800,2025-07-12
Climedo,https://www.climedo.de/,"Integrierte Lösungen (EDC, eCOA/ePRO, eCRF, eConsent) für nicht-interventionelle Studien, Real-World Evidence (RWE) und Launch-Erfolg.","Berlin, Europe",Health Apps,info@climedo.de,+49 89 32209394,2025-07-12
Entlastung in der Pflege,https://www.cliniserve.de/,"Wir bieten innovative Produkte an, die zur Entlastung in der Pflege beitragen und ohne IT-Integration direkt einsetzbar sind!","Berlin, Europe",Health Apps,info@cliniserve.de,+0000-00,2025-07-12
Kognitives Training für Menschen mit MCI und leichter Demenz,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung",Germany,Health Apps,cropped-512@2x-32x32.png,+604800,2025-07-12
Dieser Account ist zur Zeit nicht erreichbar,https://www.comuny.de/,European healthcare technology company,Germany,Digital Health,,,2025-07-12
Solutions &#8211; CureCurve Medical AI,https://curecurve.de/elina-app/,European healthcare technology company,Germany,Health Apps,,+604800,2025-07-12
HealthMe die Digitale Ernährungsnavigator App für gesundes Essen,https://www.healthmeapp.de/de/,"HealthMe ist eine App, die Menschen mit Allergien und Unverträglichkeiten eine einfache Lösung bietet. Produkte scannen und Alternativen finden.","Rome, Europe",Health Apps,info@seltmann.team,,2025-07-12
AI Therapy Assistant for Retinal Diseases,https://deepeye.ai/,European healthcare technology company,"Munich, Europe",Health Apps,sales@deepeye-medical.com,+0000,2025-07-12
deepmentation.ai – Wir bringen KI in Ihr Unternehmen.,https://www.deepmentation.ai/,"deepmentation.ai
Wir schaffen Softwarelösungen durch Verbindung klassischer und moderner Technologien.
Wir bringen KI in Ihr Unternehmen und Sie damit auf die Überholspur.",Germany,Health Apps,hello@deepmentation.ai,+4934198995737,2025-07-12
Denton Systems,https://denton-systems.de/,European healthcare technology company,Germany,Healthcare Analytics,,,2025-07-12
Online Hautarzt ohne Termin,https://www.derma2go.com/,Derma2go ist Ihr Online Dermatologe ➪ Schnelle Diagnose in wenigen Schritten. Max. 24 Stunden. Jetzt Behandlung beim Online-Hautarzt starten!,"Hamburg, Europe",Health Apps,support@derma2go.com,+604800,2025-07-12
Produkt,https://www.dianovi.com/,European healthcare technology company,"Berlin, Europe",Health Apps,info@dianovi.com,+379,2025-07-12
