name,website,description,location,country,city,category,subcategory,industry_tags,business_model,target_market,founded_year,employees,funding_amount,funding_stage,revenue,valuation,investor_list,ceo,founders,key_executives,email,phone,linkedin,twitter,crunchbase,products,technology_stack,patents,certifications,partnerships,customers,competitors,awards,press_mentions,market_size,growth_rate,market_share,regulatory_status,data_quality_score,completeness_score,confidence_score,last_updated,last_verified,source,validation_status
Doctolib,https://www.doctolib.de/,,,Germany,,Healthcare IT,,"AI, Mobile",,,,,,,,,,,,,,,,,,,"AI, Mobile, API",,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:49:55.253339,2025-07-14T13:54:19.046896,https://www.doctolib.de/,needs_review
Doctorly,https://www.doctorly.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:49:55.849475,2025-07-14T13:54:19.046921,https://www.doctorly.de/,needs_review
Teleclinic,https://www.teleclinic.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:49:56.881201,2025-07-14T13:54:19.046923,https://www.teleclinic.com/,needs_review
Fernarzt,https://www.fernarzt.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:49:57.821787,2025-07-14T13:54:19.046925,https://www.fernarzt.com/,needs_review
Zavamed,https://www.zavamed.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:49:58.703773,2025-07-14T13:54:19.046927,https://www.zavamed.com/,needs_review
Medlanes,https://www.medlanes.com/,,,,,Medical Software,,AI,,,,,,,,,,,,,,,,https://twitter.com/UPPAy,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:50:01.248577,2025-07-14T13:54:19.046930,https://www.medlanes.com/,needs_review
Mondosano,https://www.mondosano.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:50:02.663058,2025-07-14T13:54:19.046932,https://www.mondosano.de/,needs_review
Au Schein,https://www.au-schein.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:51:04.133351,2025-07-14T13:54:19.046933,https://www.au-schein.de/,needs_review
Minddoc,https://www.minddoc.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:35.580771,2025-07-14T13:54:19.046935,https://www.minddoc.com/,needs_review
Selfapy,https://www.selfapy.com/,,,,,Medical Software,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:37.149003,2025-07-14T13:54:19.046937,https://www.selfapy.com/,needs_review
Mentalis,https://www.mentalis.io/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,SOX,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:40.457663,2025-07-14T13:54:19.046938,https://www.mentalis.io/,needs_review
Therapie,https://www.therapie.de/,,,Germany,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:51:42.281585,2025-07-14T13:54:19.046941,https://www.therapie.de/,needs_review
Instahelp,https://www.instahelp.me/,,,,,Medical Software,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:44.055071,2025-07-14T13:54:19.046942,https://www.instahelp.me/,needs_review
Novego,https://www.novego.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:51:45.718277,2025-07-14T13:54:19.046944,https://www.novego.de/,needs_review
Online Therapy,https://www.online-therapy.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:46.496769,2025-07-14T13:54:19.046946,https://www.online-therapy.com/,needs_review
Hellobetter,https://www.hellobetter.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:51:47.109789,2025-07-14T13:54:19.046948,https://www.hellobetter.de/,needs_review
Humanoo,https://www.humanoo.com/,,"pG,uK",,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,23.076923076923077,70.0,2025-07-14T13:51:49.471046,2025-07-14T13:54:19.046950,https://www.humanoo.com/,needs_review
