name,website,domain,country,status,source,category,description
EMPIDENT,https://www.empident.de/,www.empident.de,Germany,Live,User Verified,Digital Health,Digital dental practice
Kranus Health,https://www.kranushealth.com/,www.kranushealth.com,Germany,Live,User Verified,Digital Health,Digital health platform
Care Animations,https://www.careanimations.de/,www.careanimations.de,Germany,Live,User Verified,Digital Health,Medical animation videos
Brainjo,https://www.brainjo.de/,www.brainjo.de,Germany,Live,User Verified,Digital Health,Health technology
HealthMe,https://www.healthmeapp.de/,www.healthmeapp.de,Germany,Live,User Verified,Digital Health,Digital nutrition navigator
AURA Health,https://www.aurahealth.tech/,www.aurahealth.tech,Germany,Live,User Verified,Digital Health,AI-powered ultrasound
GLAICE Health,https://www.glaice.de/,www.glaice.de,Germany,Live,User Verified,Digital Health,Healthcare platform
Derma2Go,https://www.derma2go.com/,www.derma2go.com,Germany,Live,User Verified,Digital Health,Online dermatologist
DeepEye,https://deepeye.ai/,deepeye.ai,Germany,Live,User Verified,Digital Health,AI therapy for retinal diseases
HELP Mee,https://www.help-app.de/,www.help-app.de,Germany,Live,User Verified,Digital Health,Pain therapy platform
AVAYL,https://www.avayl.tech/,www.avayl.tech,Germany,Live,User Verified,Digital Health,AI for medical affairs
CliniServe,https://www.cliniserve.de/,www.cliniserve.de,Germany,Live,User Verified,Digital Health,Healthcare management
GuideCare,https://www.guidecare.de/,www.guidecare.de,Germany,Live,User Verified,Digital Health,Care consultation platform
Climedo,https://www.climedo.de/,www.climedo.de,Germany,Live,User Verified,Digital Health,European eCOA system
SFS Healthcare,https://sfs-healthcare.com/,sfs-healthcare.com,Germany,Live,User Verified,Digital Health,Healthcare services
HeyNanny,https://www.heynanny.com/,www.heynanny.com,Germany,Live,User Verified,Digital Health,Healthcare benefits app
Bayer,https://www.bayer.com/,www.bayer.com,Germany,Live,Major Corporation,Established Healthcare,Pharmaceutical and life sciences
Bayer Healthcare,https://www.healthcare.bayer.com/,www.healthcare.bayer.com,Germany,Assumed Live,Major Corporation,Established Healthcare,Healthcare division
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/,www.boehringer-ingelheim.com,Germany,Live,Major Corporation,Established Healthcare,Pharmaceutical company
Merck KGaA,https://www.merckgroup.com/,www.merckgroup.com,Germany,Assumed Live,Major Corporation,Established Healthcare,Healthcare and life sciences
Stada Arzneimittel,https://www.stada.com/,www.stada.com,Germany,Live,Major Corporation,Established Healthcare,Generic pharmaceuticals
Grünenthal,https://www.grunenthal.com/,www.grunenthal.com,Germany,Live,Major Corporation,Established Healthcare,Pharmaceutical company
Dr. Reddy's Germany,https://www.drreddys.de/,www.drreddys.de,Germany,Assumed Live,Major Corporation,Established Healthcare,Pharmaceutical company
Siemens Healthineers,https://www.siemens-healthineers.com/,www.siemens-healthineers.com,Germany,Live,Major Corporation,Established Healthcare,Medical technology
B. Braun,https://www.bbraun.com/,www.bbraun.com,Germany,Live,Major Corporation,Established Healthcare,Medical technology and services
Fresenius,https://www.fresenius.com/,www.fresenius.com,Germany,Live,Major Corporation,Established Healthcare,Healthcare group
Fresenius Medical Care,https://www.freseniusmedicalcare.com/,www.freseniusmedicalcare.com,Germany,Live,Major Corporation,Established Healthcare,Dialysis services
Fresenius Kabi,https://www.fresenius-kabi.com/,www.fresenius-kabi.com,Germany,Live,Major Corporation,Established Healthcare,Clinical nutrition and infusion therapy
Carl Zeiss Meditec,https://www.zeiss.com/meditec/,www.zeiss.com,Germany,Live,Major Corporation,Established Healthcare,Medical technology
Dräger,https://www.draeger.com/,www.draeger.com,Germany,Live,Major Corporation,Established Healthcare,Medical and safety technology
Aesculap,https://www.aesculap.com/,www.aesculap.com,Germany,Live,Major Corporation,Established Healthcare,Surgical instruments
HARTMANN,https://www.hartmann.info/,www.hartmann.info,Germany,Live,Major Corporation,Established Healthcare,Medical and hygiene products
BioNTech,https://www.biontech.de/,www.biontech.de,Germany,Live,Major Corporation,Established Healthcare,Biotechnology company
CureVac,https://www.curevac.com/,www.curevac.com,Germany,Live,Major Corporation,Established Healthcare,mRNA technology
Evotec,https://www.evotec.com/,www.evotec.com,Germany,Live,Major Corporation,Established Healthcare,Drug discovery alliance
MorphoSys,https://www.morphosys.com/,www.morphosys.com,Germany,Live,Major Corporation,Established Healthcare,Biotechnology company
Qiagen,https://www.qiagen.com/,www.qiagen.com,Germany,Live,Major Corporation,Established Healthcare,Molecular diagnostics
Doctolib,https://www.doctolib.de/,www.doctolib.de,Germany,Live,Major Corporation,Established Healthcare,Healthcare platform
HelloBetter,https://www.hellobetter.de/,www.hellobetter.de,Germany,Live,Major Corporation,Established Healthcare,Digital therapeutics
Ada Health,https://ada.com/,ada.com,Germany,Live,Major Corporation,Established Healthcare,AI-powered health platform
Medizinische Medien Informations GmbH,https://www.mmi.de/,www.mmi.de,Germany,Live,Major Corporation,Established Healthcare,Healthcare IT
CompuGroup Medical,https://www.compugroup.com/,www.compugroup.com,Germany,Live,Major Corporation,Established Healthcare,Healthcare IT
Dedalus,https://www.dedalus.com/,www.dedalus.com,Germany,Live,Major Corporation,Established Healthcare,Healthcare IT
Medtronic Germany,https://www.medtronic.com/de-de/,www.medtronic.com,Germany,Live,Major Corporation,Established Healthcare,Medical devices
Abbott Germany,https://www.abbott.de/,www.abbott.de,Germany,Live,Major Corporation,Established Healthcare,Healthcare products
Roche Germany,https://www.roche.de/,www.roche.de,Germany,Live,Major Corporation,Established Healthcare,Pharmaceuticals and diagnostics
Helios Kliniken,https://www.helios-gesundheit.de/,www.helios-gesundheit.de,Germany,Live,Major Corporation,Established Healthcare,Hospital chain
Asklepios,https://www.asklepios.com/,www.asklepios.com,Germany,Live,Major Corporation,Established Healthcare,Hospital and healthcare services
Sana Kliniken,https://www.sana.de/,www.sana.de,Germany,Live,Major Corporation,Established Healthcare,Hospital chain
Universitätsklinikum,https://www.uniklinik-duesseldorf.de/,www.uniklinik-duesseldorf.de,Germany,Live,Major Corporation,Established Healthcare,University hospital
AOK,https://www.aok.de/,www.aok.de,Germany,Live,Major Corporation,Established Healthcare,Health insurance
Barmer,https://www.barmer.de/,www.barmer.de,Germany,Live,Major Corporation,Established Healthcare,Health insurance
TK Techniker Krankenkasse,https://www.tk.de/,www.tk.de,Germany,Live,Major Corporation,Established Healthcare,Health insurance
DAK Gesundheit,https://www.dak.de/,www.dak.de,Germany,Live,Major Corporation,Established Healthcare,Health insurance
Mindpeak,https://www.mindpeak.ai/,www.mindpeak.ai,Germany,Live,Startup Ecosystem,HealthTech Startup,AI pathology
Cara Care,https://cara.care/,cara.care,Germany,Live,Startup Ecosystem,HealthTech Startup,Digital health for gut health
Oviva,https://oviva.com/,oviva.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Digital nutrition therapy
Temedica,https://www.temedica.com/,www.temedica.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Digital health platform
Nia Health,https://www.niahealth.com/,www.niahealth.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Mental health platform
Zava,https://www.zavamed.com/de/,www.zavamed.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Online doctor consultations
Teleclinic,https://www.teleclinic.com/,www.teleclinic.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Telemedicine platform
Prosper.ly,https://prosper.ly/,prosper.ly,Germany,Live,Startup Ecosystem,HealthTech Startup,AI-powered drug discovery
Minddistrict,https://www.minddistrict.com/,www.minddistrict.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Mental health platform
Clue,https://helloclue.com/,helloclue.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Female health tracking
Kaia Health,https://www.kaiahealth.com/,www.kaiahealth.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Digital therapeutics
Thryve,https://www.thryve.health/,www.thryve.health,Germany,Live,Startup Ecosystem,HealthTech Startup,Gut microbiome testing
Medbelle,https://www.medbelle.com/,www.medbelle.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Healthcare platform
M-sense,https://www.m-sense.de/,www.m-sense.de,Germany,Live,Startup Ecosystem,HealthTech Startup,Migraine management app
Symeda,https://www.symeda.de/,www.symeda.de,Germany,Live,Startup Ecosystem,HealthTech Startup,Practice management software
MindMaze,https://www.mindmaze.com/,www.mindmaze.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Digital neurotherapeutics
Sanvartis,https://www.sanvartis.de/,www.sanvartis.de,Germany,Live,Startup Ecosystem,HealthTech Startup,Healthcare communication
Rhenus HealthCare,https://www.rhenus.com/,www.rhenus.com,Germany,Live,Startup Ecosystem,HealthTech Startup,Healthcare logistics
Roche,https://www.roche.com/,www.roche.com,Switzerland,Live,European Major,European Healthcare,Pharmaceuticals and diagnostics
Novartis,https://www.novartis.com/,www.novartis.com,Switzerland,Live,European Major,European Healthcare,Pharmaceutical company
Lonza,https://www.lonza.com/,www.lonza.com,Switzerland,Live,European Major,European Healthcare,Life sciences
Sonova,https://www.sonova.com/,www.sonova.com,Switzerland,Live,European Major,European Healthcare,Hearing solutions
Straumann,https://www.straumann.com/,www.straumann.com,Switzerland,Live,European Major,European Healthcare,Dental implants
Philips Healthcare,https://www.philips.com/healthcare,www.philips.com,Netherlands,Live,European Major,European Healthcare,Medical technology
DSM Biomedical,https://www.dsm.com/,www.dsm.com,Netherlands,Live,European Major,European Healthcare,Biomedical materials
Servier,https://www.servier.com/,www.servier.com,France,Live,European Major,European Healthcare,Pharmaceutical company
bioMérieux,https://www.biomerieux.com/,www.biomerieux.com,France,Live,European Major,European Healthcare,Diagnostics
Ipsen,https://www.ipsen.com/,www.ipsen.com,France,Live,European Major,European Healthcare,Pharmaceutical company
AstraZeneca,https://www.astrazeneca.com/,www.astrazeneca.com,United Kingdom,Live,European Major,European Healthcare,Pharmaceutical company
GSK,https://www.gsk.com/,www.gsk.com,United Kingdom,Live,European Major,European Healthcare,Pharmaceutical company
Smith & Nephew,https://www.smith-nephew.com/,www.smith-nephew.com,United Kingdom,Live,European Major,European Healthcare,Medical devices
Novo Nordisk,https://www.novonordisk.com/,www.novonordisk.com,Denmark,Live,European Major,European Healthcare,Diabetes care
Lundbeck,https://www.lundbeck.com/,www.lundbeck.com,Denmark,Live,European Major,European Healthcare,Pharmaceutical company
Coloplast,https://www.coloplast.com/,www.coloplast.com,Denmark,Live,European Major,European Healthcare,Medical devices
Grifols,https://www.grifols.com/,www.grifols.com,Spain,Live,European Major,European Healthcare,Pharmaceutical company
Almirall,https://www.almirall.com/,www.almirall.com,Spain,Live,European Major,European Healthcare,Pharmaceutical company
Recordati,https://www.recordati.com/,www.recordati.com,Italy,Live,European Major,European Healthcare,Pharmaceutical company
